permutation	orthogroup	pseudo_anchor_index	pseudo_alignment_position	species_total	species_with_feature	variance
2	orthogroup_1808	1	621	8	4	44603.333333333336
2	orthogroup_1811	1	170	8	6	1493.3
2	orthogroup_1811	2	194	8	5	3232.25
2	orthogroup_1811	3	581	8	5	507.7
2	orthogroup_1811	10	727	8	3	114.33333333333333
2	orthogroup_1831	7	215	8	4	3737.0625
2	orthogroup_1831	10	614	8	4	1806.25
2	orthogroup_2	3	149	9	5	8458.3
2	orthogroup_203	4	7	9	3	0.0
2	orthogroup_22	1	12	8	4	3.0625
2	orthogroup_23	6	118	8	4	4032.25
2	orthogroup_329	1	253	9	5	6919.7
2	orthogroup_329	8	358	9	3	967.0
2	orthogroup_334	1	47	9	3	217.33333333333334
2	orthogroup_36	2	2	8	5	5.3
2	orthogroup_387	4	482	8	3	6030.083333333333
2	orthogroup_540	1	10	9	6	0.075
2	orthogroup_548	1	111	9	5	1656.3
2	orthogroup_548	5	140	9	3	247.0
2	orthogroup_548	6	252	8	3	146.08333333333334
2	orthogroup_554	5	102	9	3	33.333333333333336
2	orthogroup_554	7	246	9	4	119.5625
2	orthogroup_554	8	438	9	4	909.6666666666666
2	orthogroup_582	1	181	8	5	2552.0
2	orthogroup_582	5	278	8	3	225.33333333333334
2	orthogroup_582	12	698	8	3	0.3333333333333333
2	orthogroup_598	1	145	9	4	3144.9166666666665
2	orthogroup_65	1	800	9	5	71985.75
2	orthogroup_7	5	327	9	3	12.0
2	orthogroup_755	1	242	9	5	1834.3
2	orthogroup_76	6	129	8	3	176.33333333333334
2	orthogroup_767	1	333	10	7	110.80952380952381
2	orthogroup_80	4	156	9	5	0.0
2	orthogroup_81	1	181	10	3	1365.3333333333333
2	orthogroup_870	1	147	9	5	1249.2
2	orthogroup_900	1	97	9	4	5123.729166666667
2	orthogroup_96	1	287	9	6	3392.1666666666665
2	orthogroup_968	1	93	8	4	3473.5833333333335
2	orthogroup_968	4	561	8	4	0.8958333333333334
2	orthogroup_995	2	9	9	3	0.0
3	orthogroup_1014	6	70	9	5	4108.7
3	orthogroup_1038	1	376	9	4	7360.25
3	orthogroup_1040	1	193	8	3	208.33333333333334
3	orthogroup_105	7	429	9	3	4720.333333333333
3	orthogroup_105	8	503	8	4	0.25
3	orthogroup_1124	4	231	9	3	7396.0
3	orthogroup_1158	1	228	9	4	991.5833333333334
3	orthogroup_1158	5	598	9	3	0.0
3	orthogroup_1177	1	1	10	3	2461.0833333333335
3	orthogroup_1181	1	352	10	3	1274.3333333333333
3	orthogroup_119	1	117	8	5	266.175
3	orthogroup_1208	1	99	9	3	240.33333333333334
3	orthogroup_1267	9	258	9	3	268.0
3	orthogroup_1271	1	69	10	6	0.0
3	orthogroup_1335	8	459	9	3	133.33333333333334
3	orthogroup_1363	1	45	9	3	284.3333333333333
3	orthogroup_1379	3	362	10	3	2912.5833333333335
3	orthogroup_14	1	127	8	4	1824.0
3	orthogroup_1400	1	164	8	3	456.3333333333333
3	orthogroup_1406	1	375	9	7	21117.72619047619
3	orthogroup_1408	4	215	9	4	1918.3958333333333
3	orthogroup_141	6	126	10	3	4370.333333333333
3	orthogroup_1435	1	221	8	5	10546.3
3	orthogroup_1445	6	73	9	3	10.333333333333334
3	orthogroup_145	5	17	8	3	363.0
3	orthogroup_1453	8	793	8	3	11314.333333333334
3	orthogroup_1457	10	310	10	3	5826.083333333333
3	orthogroup_1557	9	229	8	5	683.675
3	orthogroup_1627	1	177	9	3	5461.333333333333
3	orthogroup_1627	4	181	9	4	3960.3333333333335
3	orthogroup_1636	6	516	10	3	58.583333333333336
3	orthogroup_1733	7	497	9	3	19.0
3	orthogroup_1742	2	142	9	3	576.3333333333334
3	orthogroup_1742	3	285	9	3	992.3333333333334
3	orthogroup_1779	7	553	8	3	10409.333333333334
3	orthogroup_1784	1	189	8	3	2666.3333333333335
3	orthogroup_1811	1	139	8	6	1672.4416666666666
3	orthogroup_1811	6	240	8	5	3232.25
3	orthogroup_1811	7	572	8	5	507.7
3	orthogroup_1831	6	184	8	3	1352.25
3	orthogroup_1831	7	503	8	3	1364.3333333333333
3	orthogroup_1831	10	662	8	4	1806.25
3	orthogroup_2	3	98	9	5	8458.3
3	orthogroup_203	5	14	9	3	0.0
3	orthogroup_23	4	111	8	3	0.0
3	orthogroup_329	1	200	9	4	3924.6666666666665
3	orthogroup_329	6	387	9	3	967.0
3	orthogroup_334	1	49	9	3	217.33333333333334
3	orthogroup_36	3	5	8	5	5.3
3	orthogroup_387	5	456	8	3	6030.083333333333
3	orthogroup_540	1	5	9	6	0.075
3	orthogroup_548	1	119	9	5	1656.3
3	orthogroup_548	6	141	9	5	1170.2
3	orthogroup_554	5	38	9	3	545.0833333333334
3	orthogroup_554	7	235	9	4	119.5625
3	orthogroup_554	8	438	9	4	909.6666666666666
3	orthogroup_582	1	195	8	5	2552.0
3	orthogroup_582	6	333	8	3	208.33333333333334
3	orthogroup_582	12	632	8	3	1.0
3	orthogroup_598	1	1	9	3	177.33333333333334
3	orthogroup_65	1	629	9	5	66741.0
3	orthogroup_7	6	328	9	3	12.0
3	orthogroup_755	1	252	9	5	1834.3
3	orthogroup_76	6	242	8	3	176.33333333333334
3	orthogroup_767	1	299	10	7	110.80952380952381
3	orthogroup_790	2	398	9	3	147.0
3	orthogroup_80	3	159	9	5	0.0
3	orthogroup_81	1	181	10	3	1365.3333333333333
3	orthogroup_870	1	194	9	5	1249.2
3	orthogroup_900	1	94	9	4	5123.729166666667
3	orthogroup_946	1	345	8	4	10132.25
3	orthogroup_96	1	287	9	6	3392.1666666666665
3	orthogroup_968	1	104	8	3	645.3333333333334
3	orthogroup_968	4	460	8	5	3753.55
3	orthogroup_995	3	7	9	3	0.0
4	orthogroup_1014	6	72	8	5	4108.7
4	orthogroup_1038	1	275	9	3	75.0
4	orthogroup_1040	1	206	8	3	208.33333333333334
4	orthogroup_105	7	491	9	5	0.2
4	orthogroup_1124	4	244	9	3	7396.0
4	orthogroup_1158	1	238	9	4	991.5833333333334
4	orthogroup_1158	5	432	9	3	0.3333333333333333
4	orthogroup_1177	1	246	10	4	6116.5625
4	orthogroup_1181	1	358	10	3	1274.3333333333333
4	orthogroup_119	1	115	8	5	266.175
4	orthogroup_1208	1	60	9	3	252.0
4	orthogroup_1267	8	259	9	3	268.0
4	orthogroup_1271	1	74	10	6	0.0
4	orthogroup_1271	13	539	10	4	0.08333333333333333
4	orthogroup_1328	2	7	10	3	2300.3333333333335
4	orthogroup_1335	7	376	9	3	133.33333333333334
4	orthogroup_1363	1	44	9	3	284.3333333333333
4	orthogroup_1379	3	264	10	3	20.083333333333332
4	orthogroup_14	1	127	8	4	1824.0
4	orthogroup_1400	1	175	8	3	456.3333333333333
4	orthogroup_1406	1	1	9	5	1879.8
4	orthogroup_1408	5	217	9	3	1946.3333333333333
4	orthogroup_1435	1	225	8	5	10546.3
4	orthogroup_1445	6	60	9	3	10.333333333333334
4	orthogroup_145	6	88	8	3	363.0
4	orthogroup_1453	10	844	8	3	11314.333333333334
4	orthogroup_1557	11	228	8	5	683.675
4	orthogroup_1627	1	175	9	3	5461.333333333333
4	orthogroup_1627	4	180	9	4	3960.3333333333335
4	orthogroup_1636	6	407	10	5	2408.2
4	orthogroup_1733	1	147	9	3	1937.3333333333333
4	orthogroup_1733	5	574	9	3	19.0
4	orthogroup_1742	3	187	9	4	1331.6666666666667
4	orthogroup_1742	4	346	9	3	6852.0
4	orthogroup_1784	1	101	8	3	2666.3333333333335
4	orthogroup_1808	1	280	8	3	33217.333333333336
4	orthogroup_1811	1	130	8	6	920.375
4	orthogroup_1811	5	246	8	5	2313.5
4	orthogroup_1811	6	599	8	5	507.7
4	orthogroup_1811	12	709	8	3	114.33333333333333
4	orthogroup_1831	5	151	8	3	1352.25
4	orthogroup_1831	6	492	8	3	1364.3333333333333
4	orthogroup_1831	10	655	8	4	1806.25
4	orthogroup_2	1	23	9	5	1810.55
4	orthogroup_203	3	11	9	3	0.0
4	orthogroup_204	8	532	8	3	343.0
4	orthogroup_22	1	17	8	4	3.0625
4	orthogroup_23	5	106	8	3	0.0
4	orthogroup_284	1	119	9	3	2028.0
4	orthogroup_329	1	209	9	4	3924.6666666666665
4	orthogroup_329	7	358	9	3	967.0
4	orthogroup_334	1	48	9	3	217.33333333333334
4	orthogroup_36	1	2	8	5	5.3
4	orthogroup_387	7	251	8	3	114.08333333333333
4	orthogroup_540	1	223	9	8	4145.924107142857
4	orthogroup_548	1	112	9	5	1656.3
4	orthogroup_548	5	143	9	3	247.0
4	orthogroup_548	6	249	8	3	146.08333333333334
4	orthogroup_554	4	55	9	3	33.333333333333336
4	orthogroup_554	8	249	9	6	2503.0416666666665
4	orthogroup_582	1	184	8	5	2552.0
4	orthogroup_582	6	284	8	3	225.33333333333334
4	orthogroup_582	12	709	8	3	0.3333333333333333
4	orthogroup_598	1	1	9	3	177.33333333333334
4	orthogroup_65	1	762	9	5	70143.95
4	orthogroup_7	5	250	9	3	12.0
4	orthogroup_755	1	243	9	5	1834.3
4	orthogroup_76	6	241	8	3	176.33333333333334
4	orthogroup_767	1	305	10	7	110.80952380952381
4	orthogroup_790	3	376	9	3	147.0
4	orthogroup_80	4	157	9	5	0.0
4	orthogroup_81	1	183	10	3	1365.3333333333333
4	orthogroup_870	1	147	9	5	1249.2
4	orthogroup_900	2	93	9	4	5123.729166666667
4	orthogroup_946	1	323	8	4	10132.25
4	orthogroup_96	1	288	9	6	3392.1666666666665
4	orthogroup_968	1	90	8	4	3473.5833333333335
4	orthogroup_968	4	491	8	5	3753.55
4	orthogroup_995	3	10	9	3	0.0
5	orthogroup_1014	6	73	9	5	4108.7
5	orthogroup_1038	1	335	9	4	7360.25
5	orthogroup_1040	1	137	8	3	208.33333333333334
5	orthogroup_105	8	442	9	5	0.2
5	orthogroup_1124	4	246	9	3	7396.0
5	orthogroup_1158	1	207	9	4	991.5833333333334
5	orthogroup_1158	5	596	9	3	0.0
5	orthogroup_1177	1	2	10	3	2461.0833333333335
5	orthogroup_1181	1	443	10	3	30310.333333333332
5	orthogroup_119	1	101	8	5	266.175
5	orthogroup_1267	10	259	9	3	268.0
5	orthogroup_1271	1	71	10	6	0.0
5	orthogroup_1271	14	539	10	4	0.08333333333333333
5	orthogroup_1363	1	43	9	3	284.3333333333333
5	orthogroup_1379	4	263	10	3	20.083333333333332
5	orthogroup_1379	5	372	10	3	14.083333333333334
5	orthogroup_139	1	115	9	3	3165.75
5	orthogroup_14	1	179	8	4	1824.0
5	orthogroup_1400	1	164	8	3	456.3333333333333
5	orthogroup_1406	1	103	9	5	2558.675
5	orthogroup_1406	2	387	9	3	661.0
5	orthogroup_1408	4	222	9	4	1918.3958333333333
5	orthogroup_1435	1	215	8	5	10546.3
5	orthogroup_1445	6	73	9	3	10.333333333333334
5	orthogroup_145	5	88	8	3	363.0
5	orthogroup_1453	9	416	8	3	5432.333333333333
5	orthogroup_1457	10	309	10	3	5826.083333333333
5	orthogroup_1557	11	230	8	5	683.675
5	orthogroup_1627	1	175	9	3	5461.333333333333
5	orthogroup_1733	1	127	9	3	1937.3333333333333
5	orthogroup_1733	6	507	9	3	19.0
5	orthogroup_1742	2	188	9	4	1262.25
5	orthogroup_1784	1	76	8	3	2666.3333333333335
5	orthogroup_1811	1	143	8	6	1672.4416666666666
5	orthogroup_1811	4	243	8	5	3232.25
5	orthogroup_1811	5	559	8	5	507.7
5	orthogroup_1831	6	223	8	3	1352.25
5	orthogroup_1831	7	491	8	3	1364.3333333333333
5	orthogroup_1831	10	663	8	4	1806.25
5	orthogroup_195	4	9	8	4	0.0
5	orthogroup_2	1	145	9	5	1853.5
5	orthogroup_203	1	17	10	3	0.0
5	orthogroup_204	8	534	8	3	343.0
5	orthogroup_22	1	19	8	4	3.0625
5	orthogroup_23	5	123	8	3	0.0
5	orthogroup_329	1	183	9	4	3924.6666666666665
5	orthogroup_329	10	387	9	4	2244.6666666666665
5	orthogroup_334	1	119	9	3	1737.3333333333333
5	orthogroup_36	1	107	8	5	5.3
5	orthogroup_387	5	460	8	3	6030.083333333333
5	orthogroup_540	2	8	9	3	0.0
5	orthogroup_540	3	12	9	3	0.0
5	orthogroup_548	1	120	9	5	1656.3
5	orthogroup_548	5	142	9	3	247.0
5	orthogroup_548	6	250	8	3	146.08333333333334
5	orthogroup_554	2	50	9	3	33.333333333333336
5	orthogroup_554	6	247	9	4	119.5625
5	orthogroup_554	7	426	9	4	824.9166666666666
5	orthogroup_582	1	178	8	5	2552.0
5	orthogroup_582	12	707	8	3	0.3333333333333333
5	orthogroup_598	1	145	9	4	3144.9166666666665
5	orthogroup_610	5	111	9	3	46.583333333333336
5	orthogroup_65	1	560	9	5	9114.2
5	orthogroup_7	5	232	9	3	12.0
5	orthogroup_755	1	225	9	5	1834.3
5	orthogroup_76	6	99	8	3	176.33333333333334
5	orthogroup_767	1	292	10	7	110.80952380952381
5	orthogroup_790	5	324	9	3	147.0
5	orthogroup_80	4	158	9	5	0.0
5	orthogroup_81	1	181	10	3	1365.3333333333333
5	orthogroup_824	2	460	10	3	4846.333333333333
5	orthogroup_870	1	176	9	5	1249.2
5	orthogroup_900	1	466	9	5	5283.55
5	orthogroup_946	1	337	8	4	10132.25
5	orthogroup_96	1	288	9	6	3392.1666666666665
5	orthogroup_968	1	39	8	3	645.3333333333334
5	orthogroup_968	4	399	8	5	3753.55
5	orthogroup_995	1	6	9	3	0.0
6	orthogroup_1014	6	71	9	5	4108.7
6	orthogroup_1038	1	283	9	3	75.0
6	orthogroup_1040	1	223	8	3	208.33333333333334
6	orthogroup_105	6	431	9	3	4720.333333333333
6	orthogroup_105	7	501	8	4	0.25
6	orthogroup_1124	4	246	9	3	7396.0
6	orthogroup_1158	5	522	9	3	0.0
6	orthogroup_1177	1	224	10	4	6174.895833333333
6	orthogroup_1181	1	129	10	3	1274.3333333333333
6	orthogroup_119	1	110	8	5	266.175
6	orthogroup_1208	1	284	9	3	240.33333333333334
6	orthogroup_1267	10	247	9	3	268.0
6	orthogroup_1271	1	72	10	6	0.0
6	orthogroup_1335	6	391	9	3	133.33333333333334
6	orthogroup_1363	1	41	9	3	284.3333333333333
6	orthogroup_1363	6	138	9	4	3961.5833333333335
6	orthogroup_1379	4	266	10	3	20.083333333333332
6	orthogroup_14	1	128	8	4	1824.0
6	orthogroup_1400	1	163	8	3	456.3333333333333
6	orthogroup_1406	1	104	9	5	2558.675
6	orthogroup_1406	2	357	9	3	661.0
6	orthogroup_1408	5	47	9	3	1073.5833333333333
6	orthogroup_1435	1	219	8	5	10546.3
6	orthogroup_1445	6	54	9	3	10.333333333333334
6	orthogroup_145	5	88	8	3	363.0
6	orthogroup_1453	8	366	8	3	11406.333333333334
6	orthogroup_1453	9	782	8	3	11314.333333333334
6	orthogroup_1457	10	302	10	3	5826.083333333333
6	orthogroup_1557	11	231	8	5	683.675
6	orthogroup_1627	1	177	9	3	5461.333333333333
6	orthogroup_1636	4	523	10	4	1057.7291666666667
6	orthogroup_1733	7	617	9	3	19.0
6	orthogroup_1742	2	199	9	4	1262.25
6	orthogroup_1742	3	304	9	3	961.3333333333334
6	orthogroup_1779	7	451	8	3	10852.0
6	orthogroup_1811	1	168	8	6	1493.3
6	orthogroup_1811	2	199	8	5	3232.25
6	orthogroup_1811	3	577	8	5	507.7
6	orthogroup_1831	7	217	8	4	3737.0625
6	orthogroup_1831	10	667	8	4	1806.25
6	orthogroup_2	1	101	9	3	1106.5833333333333
6	orthogroup_2	3	150	9	4	2556.25
6	orthogroup_203	2	12	9	3	0.0
6	orthogroup_22	1	18	8	4	3.0625
6	orthogroup_23	5	111	8	3	0.0
6	orthogroup_329	1	202	9	4	3924.6666666666665
6	orthogroup_329	7	576	9	3	1423.0
6	orthogroup_334	1	117	9	3	1737.3333333333333
6	orthogroup_36	1	121	8	5	5.3
6	orthogroup_387	6	452	8	3	6030.083333333333
6	orthogroup_540	2	6	9	6	0.075
6	orthogroup_548	1	119	9	5	1656.3
6	orthogroup_548	6	147	9	5	1170.2
6	orthogroup_554	4	50	9	3	33.333333333333336
6	orthogroup_554	8	239	9	6	2503.0416666666665
6	orthogroup_582	1	195	8	5	2552.0
6	orthogroup_582	8	352	8	3	225.33333333333334
6	orthogroup_582	12	710	8	3	0.3333333333333333
6	orthogroup_598	1	147	9	4	3144.9166666666665
6	orthogroup_65	1	1076	8	5	77096.2
6	orthogroup_7	7	326	9	3	12.0
6	orthogroup_755	1	250	9	5	1834.3
6	orthogroup_76	6	128	8	3	176.33333333333334
6	orthogroup_767	1	296	10	7	110.80952380952381
6	orthogroup_790	5	373	9	3	147.0
6	orthogroup_80	4	151	9	6	13.5
6	orthogroup_81	1	183	10	3	1365.3333333333333
6	orthogroup_870	1	143	9	5	1249.2
6	orthogroup_900	1	97	9	4	5123.729166666667
6	orthogroup_946	1	309	8	4	10132.25
6	orthogroup_96	1	287	9	6	3392.1666666666665
6	orthogroup_968	1	90	8	4	3473.5833333333335
6	orthogroup_968	4	506	8	5	1829.5
6	orthogroup_995	2	9	9	3	0.0
7	orthogroup_1014	6	74	9	5	4108.7
7	orthogroup_1038	1	220	9	3	65.33333333333333
7	orthogroup_1040	1	250	8	3	208.33333333333334
7	orthogroup_105	7	494	9	6	1198.6666666666667
7	orthogroup_1124	4	242	9	3	7396.0
7	orthogroup_1154	1	167	9	3	120.33333333333333
7	orthogroup_1158	1	228	9	4	991.5833333333334
7	orthogroup_1158	5	585	9	3	0.0
7	orthogroup_1177	1	219	10	4	6174.895833333333
7	orthogroup_1181	1	380	10	3	1274.3333333333333
7	orthogroup_119	1	112	8	5	266.175
7	orthogroup_1208	1	157	9	3	240.33333333333334
7	orthogroup_1267	9	250	9	3	268.0
7	orthogroup_1271	1	69	10	6	0.0
7	orthogroup_1363	1	48	9	3	284.3333333333333
7	orthogroup_1379	3	262	10	3	20.083333333333332
7	orthogroup_14	1	130	8	4	1824.0
7	orthogroup_1400	1	165	8	3	456.3333333333333
7	orthogroup_1406	1	105	9	5	2558.675
7	orthogroup_1408	5	47	9	3	1073.5833333333333
7	orthogroup_141	5	343	10	3	4314.333333333333
7	orthogroup_1435	1	237	8	5	10546.3
7	orthogroup_1445	6	79	9	3	7.0
7	orthogroup_145	6	84	8	3	363.0
7	orthogroup_1453	8	487	8	3	5432.333333333333
7	orthogroup_1457	10	310	10	3	5826.083333333333
7	orthogroup_1557	11	228	8	5	683.675
7	orthogroup_1627	1	174	9	3	5461.333333333333
7	orthogroup_1636	4	427	10	3	301.0
7	orthogroup_1636	5	499	10	3	58.583333333333336
7	orthogroup_1733	1	138	9	3	1937.3333333333333
7	orthogroup_1733	5	513	9	3	19.0
7	orthogroup_1742	4	364	9	3	6852.0
7	orthogroup_1808	1	384	8	4	44668.666666666664
7	orthogroup_1811	1	153	8	6	920.375
7	orthogroup_1811	8	245	8	5	2313.5
7	orthogroup_1811	9	561	8	5	507.7
7	orthogroup_1831	6	185	8	3	1352.25
7	orthogroup_1831	7	500	8	3	1364.3333333333333
7	orthogroup_1831	10	641	8	4	1806.25
7	orthogroup_2	3	140	9	5	8458.3
7	orthogroup_203	4	16	9	3	0.0
7	orthogroup_23	5	100	8	3	0.0
7	orthogroup_279	4	173	9	3	3468.0
7	orthogroup_284	1	108	9	3	2028.0
7	orthogroup_329	1	235	9	4	3924.6666666666665
7	orthogroup_334	1	42	9	3	217.33333333333334
7	orthogroup_36	1	6	8	5	5.3
7	orthogroup_387	4	457	8	3	6030.083333333333
7	orthogroup_540	1	14	9	6	0.075
7	orthogroup_548	1	122	9	5	1656.3
7	orthogroup_548	6	139	9	5	1170.2
7	orthogroup_554	5	55	9	3	33.333333333333336
7	orthogroup_554	8	245	9	6	2503.0416666666665
7	orthogroup_582	1	209	8	5	2552.0
7	orthogroup_582	5	318	8	3	208.33333333333334
7	orthogroup_582	12	654	8	3	1.0
7	orthogroup_598	1	145	9	4	3144.9166666666665
7	orthogroup_65	1	768	9	5	70143.95
7	orthogroup_7	6	511	9	3	14.333333333333334
7	orthogroup_755	1	247	9	5	1834.3
7	orthogroup_76	6	241	8	3	176.33333333333334
7	orthogroup_767	1	296	10	7	110.80952380952381
7	orthogroup_790	2	369	9	3	147.0
7	orthogroup_80	4	155	9	5	0.0
7	orthogroup_81	1	181	10	3	1365.3333333333333
7	orthogroup_870	1	146	9	5	1249.2
7	orthogroup_900	1	476	9	5	5283.55
7	orthogroup_946	1	322	8	4	10132.25
7	orthogroup_96	1	363	9	6	3392.1666666666665
7	orthogroup_968	1	113	8	4	3473.5833333333335
7	orthogroup_968	4	507	8	5	1829.5
7	orthogroup_995	4	8	9	3	0.0
8	orthogroup_1014	6	74	9	5	4108.7
8	orthogroup_1038	1	353	9	4	7360.25
8	orthogroup_1040	1	144	8	3	208.33333333333334
8	orthogroup_105	8	498	9	6	1198.6666666666667
8	orthogroup_1158	1	220	9	4	991.5833333333334
8	orthogroup_1158	5	585	9	3	0.0
8	orthogroup_1177	1	221	10	4	6174.895833333333
8	orthogroup_1181	1	247	10	3	1274.3333333333333
8	orthogroup_119	1	117	8	5	266.175
8	orthogroup_1208	1	157	9	3	240.33333333333334
8	orthogroup_1267	8	259	9	3	268.0
8	orthogroup_1271	1	69	10	6	0.0
8	orthogroup_1271	13	540	10	4	0.08333333333333333
8	orthogroup_1335	4	385	9	3	133.33333333333334
8	orthogroup_1363	1	45	9	3	284.3333333333333
8	orthogroup_1379	3	268	10	3	20.083333333333332
8	orthogroup_1379	5	371	10	3	14.083333333333334
8	orthogroup_14	1	129	8	4	1824.0
8	orthogroup_1400	1	167	8	3	456.3333333333333
8	orthogroup_1406	1	99	9	5	2558.675
8	orthogroup_1408	4	31	9	3	1073.5833333333333
8	orthogroup_1408	5	240	9	3	2644.0
8	orthogroup_141	6	124	10	3	4370.333333333333
8	orthogroup_1435	1	234	8	5	10546.3
8	orthogroup_1445	6	81	9	3	7.0
8	orthogroup_145	6	87	8	3	363.0
8	orthogroup_1453	10	793	8	3	11314.333333333334
8	orthogroup_1557	11	228	8	5	683.675
8	orthogroup_1627	1	175	9	3	5461.333333333333
8	orthogroup_1627	4	181	9	4	3960.3333333333335
8	orthogroup_1636	4	479	10	3	682.5833333333334
