permutation	qualifying_units	median_variance
408	49	147.000000
409	52	184.291667
410	44	581.333333
411	49	124.333333
412	51	108.000000
413	56	181.614583
414	58	161.991667
415	52	272.656250
416	51	177.333333
417	49	108.333333
418	53	102.333333
419	50	133.572917
420	50	98.333333
421	59	188.083333
422	40	138.000000
423	46	123.541667
424	51	108.000000
425	54	89.333333
426	46	128.041667
427	51	201.000000
428	59	133.333333
429	50	58.333333
430	54	586.500000
431	66	172.156250
432	48	154.708333
433	56	210.666667
434	56	113.958333
435	46	123.775000
436	43	75.416667
437	53	111.200000
438	40	249.791667
439	55	156.333333
440	48	160.208333
441	54	133.625000
442	54	119.208333
443	47	227.729167
444	40	224.541667
445	45	230.229167
446	46	179.958333
447	52	115.625000
448	40	138.437500
449	52	162.833333
450	54	169.333333
451	54	204.541667
452	47	110.250000
453	36	123.500000
454	63	148.000000
455	45	167.229167
456	53	91.000000
457	52	201.291667
458	58	117.125000
459	48	148.666667
460	52	126.316667
461	54	153.333333
462	49	149.083333
463	53	144.083333
464	45	487.741667
465	41	136.750000
466	51	120.333333
467	49	133.333333
468	51	196.333333
469	48	167.458333
470	57	126.583333
471	40	139.958333
472	40	717.125000
473	60	177.291667
474	48	91.833333
475	45	122.333333
476	49	170.333333
477	48	165.745833
478	45	108.333333
479	55	156.250000
480	54	172.614583
481	55	184.333333
482	52	218.666667
483	53	209.333333
484	55	155.583333
485	52	127.666667
486	46	245.375000
487	59	119.083333
488	52	86.541667
489	60	202.541667
490	54	167.333333
491	67	120.250000
492	60	184.291667
493	55	333.666667
494	52	198.958333
495	54	171.208333
496	42	126.864583
497	49	205.750000
498	48	145.816667
499	46	442.754167
500	49	263.250000
501	53	207.750000
502	48	103.708333
503	50	205.041667
504	47	97.583333
505	48	124.666667
506	55	150.583333
507	49	57.333333
508	43	148.000000
509	55	165.083333
510	49	289.000000
511	49	188.083333
512	48	212.791667
513	48	115.958333
514	59	156.333333
515	56	165.666667
516	52	146.666667
517	54	174.458333
518	57	85.333333
519	54	229.291667
520	53	65.583333
521	57	149.333333
522	49	193.750000
523	41	114.333333
524	43	187.062500
525	50	154.666667
526	49	150.583333
527	53	106.083333
528	52	158.333333
529	50	44.441667
530	53	233.083333
531	53	133.333333
532	47	114.333333
533	51	169.000000
534	66	84.281250
535	56	152.833333
536	54	225.166667
537	40	171.625000
538	54	124.900000
539	54	87.333333
540	61	192.250000
541	54	166.958333
542	55	217.000000
543	59	85.333333
544	52	142.166667
545	47	162.333333
546	47	208.333333
547	56	114.666667
548	44	302.000000
549	50	72.291667
550	49	149.333333
551	54	97.566667
552	62	102.333333
553	53	111.000000
554	43	127.000000
555	63	280.333333
556	52	141.833333
557	47	127.000000
558	47	213.083333
559	51	105.562500
560	51	108.000000
561	52	136.150000
562	49	392.562500
563	47	142.750000
564	50	173.375000
565	53	161.333333
566	45	146.333333
567	46	109.875000
568	54	187.500000
569	40	215.666667
570	51	74.333333
571	50	107.947917
572	54	141.958333
573	46	171.625000
574	52	249.666667
575	62	115.791667
576	52	232.458333
577	62	231.125000
578	43	129.000000
579	41	165.333333
580	58	210.666667
581	40	212.666667
582	56	132.666667
583	55	280.583333
584	46	161.941667
585	57	128.666667
586	56	116.114583
587	49	99.750000
588	49	124.000000
589	62	110.197917
590	52	251.166667
591	45	109.750000
592	54	166.208333
593	48	249.125000
594	59	218.416667
595	45	89.333333
596	55	130.062500
597	47	108.000000
598	49	154.062500
599	47	289.000000
600	61	80.333333
601	54	177.358333
602	46	229.125000
603	54	96.833333
604	57	144.333333
605	59	233.333333
606	44	177.666667
607	57	132.666667
608	63	121.000000
609	49	156.333333
610	57	206.333333
611	37	364.000000
612	54	143.833333
613	55	57.333333
614	47	216.750000
615	49	118.750000
616	60	113.333333
617	48	132.500000
618	59	146.229167
619	47	124.000000
620	42	103.666667
621	40	105.458333
622	57	96.333333
623	44	282.083333
624	43	96.333333
625	53	80.333333
626	58	140.197917
627	54	122.850000
628	43	268.000000
629	49	151.083333
630	38	279.775000
631	51	98.583333
632	46	170.000000
633	60	314.166667
634	47	230.333333
635	49	66.333333
636	42	72.666667
637	54	108.489583
638	50	162.958333
639	48	156.781250
640	43	120.333333
641	44	196.458333
642	48	109.833333
643	40	300.875000
644	52	265.333333
645	48	89.166667
646	41	160.333333
647	61	120.333333
648	50	184.150000
649	47	173.083333
650	53	192.000000
651	51	130.916667
652	52	59.516667
653	58	83.208333
654	51	108.000000
655	52	179.691667
656	51	98.583333
657	56	125.000000
658	43	108.000000
659	60	190.000000
660	53	124.333333
661	51	167.583333
662	46	192.333333
663	53	117.000000
664	41	66.083333
665	49	139.750000
666	47	80.583333
667	51	96.750000
668	62	173.400000
669	52	198.333333
670	56	127.333333
671	54	72.333333
672	43	384.000000
673	58	284.614583
674	42	275.708333
675	56	140.291667
676	49	212.333333
677	49	193.000000
678	42	87.322917
679	47	152.083333
680	41	147.000000
681	45	162.333333
682	48	148.739583
683	54	122.333333
684	50	145.333333
685	57	109.000000
686	53	331.750000
687	54	190.333333
688	55	210.416667
689	48	119.291667
690	48	211.750000
691	47	158.550000
692	47	133.333333
693	52	241.458333
694	40	165.708333
695	38	406.791667
696	54	120.239583
697	50	268.333333
698	42	99.833333
699	58	198.629167
700	51	137.583333
701	47	125.083333
702	50	212.483333
703	49	174.083333
704	52	156.114583
705	42	180.833333
706	49	168.916667
707	52	177.333333
708	51	120.333333
709	44	88.833333
710	56	255.791667
711	55	150.583333
712	55	156.333333
713	55	193.333333
714	46	159.041667
715	54	267.125000
716	59	158.083333
717	68	150.833333
718	51	121.000000
719	42	68.875000
720	46	116.458333
721	42	187.958333
722	48	327.708333
723	47	156.333333
724	58	167.416667
725	53	117.000000
726	49	133.583333
727	49	144.083333
728	56	145.208333
729	58	194.041667
730	58	123.541667
731	50	111.291667
732	52	173.166667
733	52	81.541667
734	44	134.906250
735	58	126.875000
736	58	182.208333
737	59	124.000000
738	46	191.375000
739	51	161.333333
740	52	106.197917
741	50	200.875000
742	50	194.000000
743	55	209.333333
744	48	138.583333
745	51	184.333333
746	54	222.266667
747	51	189.000000
748	48	280.666667
749	52	151.031250
750	53	146.333333
751	50	240.666667
752	39	277.325000
753	49	142.333333
754	41	142.895833
755	53	155.000000
756	53	192.000000
757	49	126.583333
758	47	246.333333
759	54	140.166667
760	43	129.000000
761	59	106.916667
762	56	72.791667
763	42	245.333333
764	41	256.750000
765	40	191.125000
766	41	75.000000
767	53	134.333333
768	52	171.958333
769	50	163.666667
770	50	133.666667
771	59	165.083333
772	54	150.781250
773	48	186.433333
774	49	86.333333
775	50	76.000000
776	52	147.350000
777	44	75.833333
778	47	182.916667
779	47	154.333333
780	49	271.000000
781	55	217.333333
782	40	134.666667
783	56	243.541667
784	55	154.333333
785	53	120.333333
786	49	57.200000
787	55	190.062500
788	57	82.750000
789	52	126.916667
790	52	140.666667
791	63	105.083333
792	53	192.000000
793	66	179.166667
794	49	158.333333
795	53	172.583333
796	46	181.291667
797	54	117.291667
798	59	57.000000
799	58	171.583333
800	56	192.125000
801	62	93.291667
802	49	193.000000
803	49	84.000000
804	52	86.041667
805	52	174.458333
806	54	129.375000
807	50	305.166667
808	43	174.333333
809	44	138.625000
810	52	162.166667
811	53	195.083333
812	46	170.208333
813	43	91.000000
814	46	263.166667
815	48	218.191667
816	47	105.333333
817	59	183.000000
818	49	133.333333
819	57	176.333333
820	49	301.000000
821	52	145.208333
822	46	96.083333
823	49	412.250000
824	45	108.333333
825	50	211.625000
826	51	196.083333
827	47	93.000000
828	63	121.333333
829	45	171.000000
830	48	445.614583
831	38	238.791667
832	55	204.400000
833	43	289.000000
834	49	337.000000
835	57	200.333333
836	54	167.541667
837	59	200.083333
838	54	126.531250
839	54	134.333333
840	51	150.583333
841	40	219.162500
842	57	104.333333
843	53	114.333333
844	55	160.333333
845	52	55.704167
846	54	177.333333
847	48	181.500000
848	48	155.000000
849	53	154.333333
850	54	139.583333
851	51	180.325000
852	39	184.333333
853	52	159.958333
854	49	154.333333
855	53	82.333333
856	53	123.583333
857	51	150.583333
858	44	111.322917
859	40	70.725000
860	49	201.333333
861	57	147.250000
862	51	110.083333
863	49	231.583333
864	51	143.583333
865	59	138.583333
866	46	85.791667
867	45	369.666667
868	49	73.000000
869	41	185.583333
870	52	137.364583
871	49	98.000000
872	53	100.000000
873	62	150.625000
874	55	130.083333
875	61	238.229167
876	48	343.666667
877	50	210.697917
878	53	229.750000
879	58	154.958333
880	56	110.333333
881	48	92.541667
882	48	135.864583
883	59	202.333333
884	48	192.208333
885	48	282.525000
886	56	115.500000
887	52	69.041667
888	45	177.333333
889	48	173.541667
890	56	161.833333
891	51	61.000000
892	46	77.708333
893	49	77.583333
894	48	331.614583
895	50	173.791667
896	52	260.708333
897	54	207.125000
898	46	174.000000
899	52	144.333333
900	54	213.572917
901	53	366.333333
902	61	110.250000
903	51	123.083333
904	45	221.583333
905	45	96.583333
906	49	147.000000
907	43	82.333333
908	52	166.333333
909	46	298.791667
910	55	85.333333
911	47	97.333333
912	45	166.062500
913	49	186.333333
914	52	368.500000
915	54	152.958333
916	57	156.333333
917	50	133.375000
918	41	160.333333
919	42	490.708333
920	54	210.129167
921	45	113.000000
922	55	108.000000
923	53	139.000000
924	53	177.333333
925	46	347.629167
926	51	129.000000
927	51	117.750000
928	54	161.833333
929	48	95.833333
930	52	87.333333
931	52	151.041667
932	57	200.333333
933	52	264.958333
934	50	408.166667
935	66	180.833333
936	57	165.083333
937	57	86.333333
938	55	127.000000
939	50	163.906250
940	42	165.333333
941	53	119.395833
942	54	237.541667
943	49	91.000000
944	53	92.895833
945	45	208.333333
946	61	176.583333
947	51	343.000000
948	55	185.083333
949	50	300.000000
950	46	137.297917
951	48	56.333333
952	45	80.583333
953	54	67.833333
954	45	166.583333
955	44	186.500000
956	45	141.583333
957	48	187.500000
958	48	107.333333
959	53	96.333333
960	42	136.208333
961	54	186.875000
962	52	146.875000
963	45	211.000000
964	51	372.000000
965	56	188.166667
966	50	150.791667
967	53	147.000000
968	56	113.739583
969	57	156.333333
970	38	251.208333
971	54	89.739583
972	41	273.000000
973	59	71.333333
974	46	291.833333
975	48	385.816667
976	47	87.800000
977	51	125.416667
978	47	85.333333
979	50	104.166667
980	54	122.375000
981	42	230.000000
982	42	225.333333
983	54	124.625000
984	41	115.583333
985	47	127.000000
986	57	145.333333
987	52	208.291667
988	48	113.833333
989	58	141.291667
990	46	106.166667
991	50	80.791667
992	60	133.166667
993	53	97.583333
994	54	316.125000
995	55	102.083333
996	50	74.572917
997	51	116.333333
998	49	168.750000
999	61	135.416667
1000	47	189.000000
